Number,District ID,District,Response Rate,Item,Old Item,Topic,Full Question,Prompt,See Column,Selected,Strongly Disagree,Disagree,Agree,Strongly Agree,The material I use is below grade-level material.,The material I use is on grade-level material.,The material I use is above grade-level material.,I am not sure.,Strongly Disagree,Disagree,Agree,Strongly Agree,Not Applicable,Never,Rarely,Sometimes,Frequently,Not at all,Less than once a week,Once a week,2-3 times a week,Almost every day,5 percent or less,6 percent to 10 percent,11 percent to 15 percent,16 percent to 25 percent,More than 25 percent,Less than 2 hours,2 to 4 hours,4 to 6 hours,6 to 10 hours,More than 10 hours,Less than 30 minutes a day,"30 minutes or more, less than 45 minutes a day","45 minutes or more, less than 48 minutes a day","48 minutes or more, less than 60 minutes a day",60 minutes or more a day,Focused more on improving my teaching than judging my performance.,Focused more on judging my performance than improving my teaching.,Equally focused on improving my teaching and judging my performance.,,,,,,,,,,,,,,,,
44,500,Lawrence County,77%,TC_14c,,Miscellaneous,Which of the following challenges have you experienced with supporting students with disabilities?,Providing access to daily instruction,K, 16% ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
45,500,Lawrence County,77%,TC_14d,,Miscellaneous,Which of the following challenges have you experienced with supporting students with disabilities?,Lack of training in instructional strategies for students w/ learning challenges,K, 30% ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
46,500,Lawrence County,77%,TC_14e,TC_14e,Miscellaneous,Which of the following challenges have you experienced with supporting students with disabilities?,Additional meetings,K, 36% [+12%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
47,500,Lawrence County,77%,TC_14f,TC_14f,Miscellaneous,Which of the following challenges have you experienced with supporting students with disabilities?,The additional planning time it requires,K, 40% [+2%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
48,500,Lawrence County,77%,TC_14g,TC_14g,Miscellaneous,Which of the following challenges have you experienced with supporting students with disabilities?,"How to support students’ behavioral success (i.e., implementing a behavior plan)",K, 41% [+12%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
49,500,Lawrence County,77%,TC_14h,TC_14h,Miscellaneous,Which of the following challenges have you experienced with supporting students with disabilities?,Disruptions to the classroom environment and flow of teaching,K, 60% [+10%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
50,500,Lawrence County,77%,TC_14i,,Miscellaneous,Which of the following challenges have you experienced with supporting students with disabilities?,Requiring additional support from administration,K, 17% ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
51,500,Lawrence County,77%,TC_14j,TC_14j,Miscellaneous,Which of the following challenges have you experienced with supporting students with disabilities?,Lack of support personnel,K, 30% [+9%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
52,500,Lawrence County,77%,TC_14k,TC_14k,Miscellaneous,Which of the following challenges have you experienced with supporting students with disabilities?,Other,K, 5% [0%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
53,500,Lawrence County,77%,TC_17,TC_17,Miscellaneous,"During the current school year, feedback that I received from my evaluator was…",,AW,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 58% [+3%] , 9% [0%] , 34% [-2%] ,,,,,,,,,,,,,,,,
54,500,Lawrence County,77%,TC_18,,Miscellaneous,Think about the typical Tier 1 instruction that you provide related to addressing learning loss. Which of the following options best represent the level of the material that you use during Tier 1 instruction?,,P,  ,  ,  ,  ,  , 5% , 71% , 10% , 13% ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
1,510,Lewis County,76%,TC_01a,TC_01a,School Climate,Please indicate the extent to which you agree or disagree with the following statements regarding your school.,There is an atmosphere of trust and mutual respect within this school.,L,  , 5% [+2%] , 19% [+3%] , 58% [-1%] , 19% [-3%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
2,510,Lewis County,76%,TC_01c,TC_01c,School Climate,Please indicate the extent to which you agree or disagree with the following statements regarding your school.,I am generally satisfied with being a teacher in this school.,L,  , 5% [+4%] , 16% [+7%] , 57% [-4%] , 23% [-5%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
3,510,Lewis County,76%,TC_01d,TC_01d,School Climate,Please indicate the extent to which you agree or disagree with the following statements regarding your school.,I would recommend this school to parents seeking a place for their child.,L,  , 3% [+3%] , 10% [+1%] , 62% [+6%] , 24% [-11%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
4,510,Lewis County,76%,TC_01e,TC_01e,School Climate,Please indicate the extent to which you agree or disagree with the following statements regarding your school.,Our school staff is a learning community in which ideas and suggestions for improvement are encouraged.,L,  , 4% [+2%] , 12% [+3%] , 61% [-2%] , 22% [-4%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
5,510,Lewis County,76%,TC_04b,TC_04b,School Climate,Please indicate the extent to which you agree or disagree with the following statements regarding school safety.,Students treat adults with respect at this school.,L,  , 12% [+8%] , 20% [0%] , 60% [-2%] , 8% [-7%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
6,510,Lewis County,76%,TC_04c,TC_04c,School Climate,Please indicate the extent to which you agree or disagree with the following statements regarding school safety.,Students in my school are safe from bullying.,L,  , 5% [+2%] , 24% [+7%] , 68% [+5%] , 3% [-13%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
7,510,Lewis County,76%,TC_01b,TC_01b,Perceptions of Leadership,Please indicate the extent to which you agree or disagree with the following statements regarding your school.,Teachers are encouraged to participate in school leadership roles.,L,  , 2% [0%] , 14% [-5%] , 66% [+5%] , 17% [-1%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
8,510,Lewis County,76%,TC_02a,TC_02a,Perceptions of Leadership,Please indicate the extent to which you agree or disagree with the following statements regarding school leadership in your school.,School leadership communicates a clear vision for this school.,L,  , 4% [-2%] , 23% [+6%] , 60% [+10%] , 12% [-16%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
9,510,Lewis County,76%,TC_02b,TC_02b,Perceptions of Leadership,Please indicate the extent to which you agree or disagree with the following statements regarding school leadership in your school.,The staff feels comfortable raising issues and concerns that are important to them with school leaders.,L,  , 9% [+2%] , 17% [-6%] , 59% [+15%] , 15% [-12%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
10,510,Lewis County,76%,TC_02c,TC_02c,Perceptions of Leadership,Please indicate the extent to which you agree or disagree with the following statements regarding school leadership in your school.,I like the way things are run at this school.,L,  , 11% [+4%] , 18% [-3%] , 60% [+9%] , 11% [-10%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
11,510,Lewis County,76%,TC_03a,TC_03a,Perceptions of Leadership,Please indicate the extent to which you agree or disagree with the following statements about your school’s leader(s).,My school’s leader regularly models effective instruction.,L,  , 5% [-1%] , 33% [+9%] , 55% [+3%] , 7% [-10%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
12,510,Lewis County,76%,TC_03b,TC_03b,Perceptions of Leadership,Please indicate the extent to which you agree or disagree with the following statements about your school’s leader(s).,My school’s leader regularly gives feedback on my instruction.,L,  , 2% [-6%] , 22% [+3%] , 64% [+7%] , 11% [-5%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
13,510,Lewis County,76%,TC_03c,TC_03c,Perceptions of Leadership,Please indicate the extent to which you agree or disagree with the following statements about your school’s leader(s).,My school’s leader knows my instructional strengths and areas of growth.,L,  , 1% [-4%] , 25% [+16%] , 62% [-3%] , 12% [-10%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
14,510,Lewis County,76%,TC_03d,TC_03d,Perceptions of Leadership,Please indicate the extent to which you agree or disagree with the following statements about your school’s leader(s).,My school’s leader is knowledgeable about the curricula being used.,L,  , 2% [-3%] , 28% [+7%] , 58% [+4%] , 12% [-9%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
15,510,Lewis County,76%,TC_03e,TC_03e,Perceptions of Leadership,Please indicate the extent to which you agree or disagree with the following statements about your school’s leader(s).,My school’s leader is knowledgeable about the non-academic needs of my students.,L,  , 8% [+2%] , 17% [+2%] , 63% [+6%] , 12% [-10%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
16,510,Lewis County,76%,TC_04a,TC_04a,Perceptions of Leadership,Please indicate the extent to which you agree or disagree with the following statements regarding school safety.,School leadership effectively handles student discipline and behavioral problems.,L,  , 21% [+8%] , 17% [-10%] , 52% [+6%] , 10% [-4%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
17,510,Lewis County,76%,TC_05a,,Collective Responsibility,Please indicate the extent to which you agree or disagree with the following statements regarding the teachers at your school.,Teachers at my school feel responsible for student success.,L,  , 2% , 3% , 67% , 28% ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
18,510,Lewis County,76%,TC_05b,TC_05b,Collective Responsibility,Please indicate the extent to which you agree or disagree with the following statements regarding the teachers at your school.,Teachers at my school feel responsible to help each other do their best.,L,  , 2% [+1%] , 9% [+5%] , 67% [-1%] , 21% [-7%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
19,510,Lewis County,76%,TC_05c,TC_05c,Collective Responsibility,Please indicate the extent to which you agree or disagree with the following statements regarding the teachers at your school.,"Teachers at my school help maintain discipline in the entire school, not just their classroom.",L,  , 1% [0%] , 14% [+4%] , 68% [+1%] , 18% [-5%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
20,510,Lewis County,76%,TC_05d,TC_05d,Collective Responsibility,Please indicate the extent to which you agree or disagree with the following statements regarding the teachers at your school.,Teachers at my school take responsibility for improving their school.,L,  , 0% [0%] , 9% [+3%] , 70% [+4%] , 21% [-7%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
21,510,Lewis County,76%,TC_06b,TC_06b,Resources and Time Use,Please indicate the extent to which you agree or disagree with the following statements regarding your planning time this school year.,My individual planning time is sufficient.,L,  , 13% [-5%] , 21% [0%] , 56% [+10%] , 10% [-5%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
22,510,Lewis County,76%,TC_06c,TC_06c,Resources and Time Use,Please indicate the extent to which you agree or disagree with the following statements regarding your planning time this school year.,My collaborative planning time is sufficient.,L,  , 17% [-1%] , 23% [0%] , 53% [+8%] , 7% [-7%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
23,510,Lewis County,76%,TC_13a,TC_13a,Resources and Time Use,To what extent do you agree or disagree that your district provides you with the curricular materials necessary to be successful in meeting the needs of the following groups of students?,Students with mild or moderate disabilities,T,  ,  ,  ,  ,  ,  ,  ,  ,  , 2% [+1%] , 21% [+9%] , 54% [-11%] , 19% [-1%] , 3% [+1%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
24,510,Lewis County,76%,TC_13b,TC_13b,Resources and Time Use,To what extent do you agree or disagree that your district provides you with the curricular materials necessary to be successful in meeting the needs of the following groups of students?,Students with severe disabilities,T,  ,  ,  ,  ,  ,  ,  ,  ,  , 2% [-2%] , 20% [+4%] , 38% [-7%] , 15% [+1%] , 25% [+4%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
25,510,Lewis County,76%,TC_13c,TC_13c,Resources and Time Use,To what extent do you agree or disagree that your district provides you with the curricular materials necessary to be successful in meeting the needs of the following groups of students?,English language learners,T,  ,  ,  ,  ,  ,  ,  ,  ,  , 2% [-4%] , 14% [-4%] , 45% [-5%] , 13% [+1%] , 26% [+12%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
26,510,Lewis County,76%,TC_13d,,Resources and Time Use,To what extent do you agree or disagree that your district provides you with the curricular materials necessary to be successful in meeting the needs of the following groups of students?,All of your students,T,  ,  ,  ,  ,  ,  ,  ,  ,  , 1% , 12% , 58% , 27% , 2% ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
27,510,Lewis County,76%,TC_07a,,Parental Engagement,Please indicate the extent to which you agree or disagree with each of the following statements regarding teacher/parent relations at your school.,I regularly communicate with parents about how they can help their children learn.,L,  , 2% , 17% , 66% , 14% ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
28,510,Lewis County,76%,TC_07b,TC_08b,Parental Engagement,Please indicate the extent to which you agree or disagree with each of the following statements regarding teacher/parent relations at your school.,I feel supported by the parents of my students.,L,  , 5% [+3%] , 20% [+8%] , 63% [-6%] , 12% [-5%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
29,510,Lewis County,76%,TC_07c,TC_08c,Parental Engagement,Please indicate the extent to which you agree or disagree with each of the following statements regarding teacher/parent relations at your school.,"This school offers an array of opportunities for families to participate in school planning, leadership, and volunteering.",L,  , 5% [+3%] , 34% [+13%] , 54% [-4%] , 8% [-11%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
30,510,Lewis County,76%,TC_08,TC_09,Support,"In a typical week, what percentage of instructional time do you spend managing student behavioral and disciplinary issues?",,AH,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 41% [+4%] , 26% [-8%] , 12% [+3%] , 10% [+1%] , 11% [+1%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
31,510,Lewis County,76%,TC_09a,TC_10a,Support,Please indicate the frequency with which the following instructional improvement statements have applied to you during this school year.,My professional learning has been closely aligned to the instructional materials that have been adopted by my district.,Y,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 3% [+1%] , 9% [-6%] , 49% [-6%] , 38% [+10%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
32,510,Lewis County,76%,TC_09b,TC_10b,Support,Please indicate the frequency with which the following instructional improvement statements have applied to you during this school year.,The professional learning I have received has led to improvements in my teaching.,Y,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1% [0%] , 16% [-4%] , 49% [-1%] , 34% [+5%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
33,510,Lewis County,76%,TC_10,TC_11,Policies and Practices,"On average, how many hours per week do you spend creating or sourcing materials to use for classroom instruction including planning time during and outside of school hours?",,AM,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 17% [+6%] , 28% [-6%] , 32% [+3%] , 11% [-5%] , 11% [+2%] ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
34,510,Lewis County,76%,TC_11,TC_12,Policies and Practices,How many total minutes of planning time are you SCHEDULED to receive over the course of a typical week?,,AR,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 14% [0%] , 20% [-5%] , 30% [+3%] , 11% [+4%] , 26% [-1%] ,  ,  ,  ,,,,,,,,,,,,,,,,
35,510,Lewis County,76%,TC_06a,TC_06a,Miscellaneous,Please indicate the extent to which you agree or disagree with the following statements regarding your planning time this school year.,Teachers in my school are allowed to focus on teaching students with minimal interruptions.,L,  , 4% [-3%] , 19% [-9%] , 67% [+15%] , 10% [-3%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
36,510,Lewis County,76%,TC_09c,TC_10c,Miscellaneous,Please indicate the frequency with which the following instructional improvement statements have applied to you during this school year.,I have received specific professional learning suggestions that are tailored to my needs.,Y,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 3% [0%] , 30% [-1%] , 44% [+6%] , 22% [-6%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
37,510,Lewis County,76%,TC_09d,TC_10d,Miscellaneous,Please indicate the frequency with which the following instructional improvement statements have applied to you during this school year.,My professional learning experiences this year have been closely aligned to the feedback I received on my evaluation.,Y,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 9% [+3%] , 23% [-8%] , 49% [+13%] , 19% [-9%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
38,510,Lewis County,76%,TC_12a,,Miscellaneous,How often did you use digital tools for each of the instructional purposes this school year (2022-23)?,Delivering instruction directly to students,AC,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 3% , 11% , 9% , 11% , 65% ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
39,510,Lewis County,76%,TC_12b,,Miscellaneous,How often did you use digital tools for each of the instructional purposes this school year (2022-23)?,Tailoring the learning experience to meet individual student needs,AC,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 5% , 10% , 8% , 31% , 46% ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
40,510,Lewis County,76%,TC_12c,,Miscellaneous,How often did you use digital tools for each of the instructional purposes this school year (2022-23)?,Content-based learning acceleration,AC,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 7% , 10% , 16% , 37% , 29% ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
41,510,Lewis County,76%,TC_12d,,Miscellaneous,How often did you use digital tools for each of the instructional purposes this school year (2022-23)?,Supporting student collaboration,AC,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 8% , 15% , 17% , 35% , 26% ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
42,510,Lewis County,76%,TC_14a,,Miscellaneous,Which of the following challenges have you experienced with supporting students with disabilities?,Difficultly scaffolding instruction and providing access points,K, 16% ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
43,510,Lewis County,76%,TC_14b,,Miscellaneous,Which of the following challenges have you experienced with supporting students with disabilities?,"Lack of assistive technology to serve varying needs (e.g., iPad, wiggle chair)",K, 19% ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
44,510,Lewis County,76%,TC_14c,,Miscellaneous,Which of the following challenges have you experienced with supporting students with disabilities?,Providing access to daily instruction,K, 16% ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
45,510,Lewis County,76%,TC_14d,,Miscellaneous,Which of the following challenges have you experienced with supporting students with disabilities?,Lack of training in instructional strategies for students w/ learning challenges,K, 30% ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
